name,name2,lat,lon,size,color,value,photo
뚝섬유원지역 1번출구 앞,뚝섬유원지역 1번출구 앞,37.53186,127.067192,8,,2945,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=http%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F38265699%2F3%3Fwidth%3D800%26height%3D400%26msgpad%3D1606830288671%26md%3DOR%252F59j0TcUsXHid1s9fWaG4P7DU%253D
여의나루역 1번출구 앞,여의나루역 1번출구 앞,37.526989,126.932098,8,,2775,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=http%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F1894973369%2F3%3Fwidth%3D800%26height%3D400%26msgpad%3D1606829390329%26md%3DSiK9iKr1OZgq062uHA0yTDKXqvU%253D
마포구민체육센터 앞,마포구민체육센터 앞,37.55661,126.898018,8,,2185,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=http%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F38644169%2F3%3Fwidth%3D800%26height%3D400%26msgpad%3D1606829336037%26md%3D%252BHsUHwMXiIsjnJAPt9N27umEB3Y%253D
봉림교 교통섬,봉림교 교통섬,37.48423,126.926392,8,,1598,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=http%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F1736246429%2F3%3Fwidth%3D800%26height%3D400%26msgpad%3D1607968161816%26md%3DXdkBrGCczgEe5GnjYpU9mAqoenE%253D
월드컵공원,월드컵공원,37.563965,126.898209,8,,1512,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=http%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F38415902%2F3%3Fwidth%3D800%26height%3D400%26msgpad%3D1606829026885%26md%3DA%252BwuLHd8aNLmoyjbDImPQG88hjY%253D
옥수역 3번출구,옥수역 3번출구,37.541363,127.017662,8,,1507,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=http%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F38416169%2F3%3Fwidth%3D800%26height%3D400%26msgpad%3D1606829448981%26md%3DhYsjSURSZy6rtYYtQsGHknuOz0U%253D
"고속터미널역 8-1번, 8-2번 출구 사이","고속터미널역 8-1번, 8-2번 출구 사이",37.506199,127.003944,8,,1230,
청계천 생태교실 앞,청계천 생태교실 앞,37.56797028,127.0468903,8,,1188,
당산육갑문,당산육갑문,37.535339,126.903679,8,,1159,
독산보도육교 앞 자전거 보관소,독산보도육교 앞 자전거 보관소,37.455849,126.893143,8,,1103,
뚝섬유원지,,37.531544,127.064514,4,#FF2424,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzAzMDlfMjUz%2FMDAxNDg5MDI5NzY3MzQ1.pAaFbEjNZbtGnL-Zp_altivUWlJ0ce40Qid06NhVPysg.SsYSYqOAZs7rC2lNJ49Z73ocyCXSydKvrn_s3k6p9Sog.JPEG.autolian%2FDSC00291.JPG%23800x533
뚝섬한강공원,,37.5285776,127.0689879,4,#FF2424,,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_105%2F1548822513752praRX_JPEG%2F8W-iCA8Tvu917tYSw5JFhm3T.jpeg.jpg
뚝섬캠핑장,,37.5285777,127.0689987,4,#FF2424,,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=http%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F38338929%2F3%3Fwidth%3D800%26height%3D400%26msgpad%3D1606829676019%26md%3DkU3xw6nAMkfEDxcAxHAr4wfeIoM%253D
여의도 한강공원,,37.5257841,126.932611,4,#FF2424,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNjExMDRfODIg%2FMDAxNDc4MjQ3NzUwMzE4.a3OBbF8MLC162T93-8tFU8FAQ1628j60PhhKe3Ti9isg.c_ah-9piKSgXPiFGs_YN8Os_idV-pKkSd-ZUCFzqa8Ug.JPEG.kon_pig%2Fthumb_IMG_1127_1024.jpg%231024x768
63스퀘어,,37.5193776,126.9380163,4,#FF2424,,https://ldb-phinf.pstatic.net/20140407_139/13968556868699WtxI_JPEG/%BC%AD%BF%EF_63%BE%BE%C6%BC_13.jpg?type=m500_500
마포대교,,37.5337975,126.9349198,4,#FF2424,,https://ldb-phinf.pstatic.net/20140423_187/1398243469917VDdEq_JPEG/%BC%AD%BF%EF_%B8%B6%C6%F7%B4%EB%B1%B3_1.jpg?type=m500_500
원효대교,,37.527039,126.94353,4,#FF2424,,https://ldb-phinf.pstatic.net/20140423_145/1398243623661Oavjb_JPEG/%BC%AD%BF%EF_%BF%F8%C8%BF%B4%EB%B1%B3_12.JPG?type=m500_500
망원유수지체육공원,,37.55784,126.8950614,4,#FF2424,,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=http%3A%2F%2Fapis.naver.com%2Fplace%2Fpanorama%2Fthumbnail%2F18794381%2F3%3Fwidth%3D800%26height%3D400%26msgpad%3D1606830109978%26md%3D75YGshU3kMLnMz0HIOkGGDE5tss%253D
서울함공원,,37.5525638,126.8956913,4,#FF2424,,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20200127_165%2F1580122204408SLQGc_JPEG%2Fupload_fdc23eca8b7c8839995466c1992a4dd2.jpg
망원한강공원,,37.5557262,126.8919009,4,#FF2424,,https://ldb-phinf.pstatic.net/20140407_218/1396856359750kwsGD_JPEG/%BC%AD%BF%EF_%C7%D1%B0%AD%BD%C3%B9%CE%B0%F8%BF%F8%B8%C1%BF%F8%C1%F6%B1%B8_5.JPG?type=m500_500
보라매공원,,37.4937396,126.9177093,4,#FF2424,,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_40%2F1441007211921MnDAm_JPEG%2F106873487968426_0.jpg
도림천,,37.4944426,126.9088363,4,#FF2424,,https://lh5.googleusercontent.com/p/AF1QipMuP9EcjICXlviIglCmWpJhNf1ycw8AJi_SiklU=w408-h408-k-no
평화의 공원,,37.5623116,126.8929106,4,#FF2424,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA5MTdfNTUg%2FMDAxNTA1NjQ3NDY4MDk4.NQvyEdw9UImmz_rb7F41hhSfh66fqR2Q9gmGy7ZvIAog.bAoZ0f9Op4_ZJR4zCXZMHPwk90mDQrtDEx-IELJae4Ig.JPEG.warm_today%2FIMG_2112.jpg%23936x624
서울월드컵경기장,,37.5682588,126.8950834,4,#FF2424,,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190325_233%2F1553496511335FwSNW_JPEG%2FR9C2Q-i4gRPU2_MBkaaI7cuG.JPG.jpg
서울숲,,37.5443878,127.0352484,4,#FF2424,,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200728_296%2F1595899415265D5A3d_JPEG%2F%25B0%25A1%25C1%25B7%25B8%25B6%25B4%25E71.jpg
반포 한강공원,,37.5097812,126.99255,4,#FF2424,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzExMDRfMjcg%2FMDAxNTA5NzI5MTM0OTU1.w_lubzTdjos7Jndwg7Zyb-hhreMwVSsuomHqOQMnx5og.S5cMKMwB7fiUlCrjG9TYlL8lynUBfqkh0_YDCJxl8Jog.JPEG.vegeta78%2F%25B9%25DD%25C6%25F7%25C7%25D1%25B0%25AD%25B0%25F8%25BF%25F8_%252810%2529.jpg%231920x1080
새빛섬,,37.5116789,126.9771668,4,#FF2424,,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200323_91%2F15849250483854Ybid_JPEG%2FsfrYrHB4_3VV0-X6RmvMJ8al.jpg
청계천,,37.5680509,126.9864108,4,#FF2424,,https://ldb-phinf.pstatic.net/20140407_263/1396856567250crm4K_JPEG/%BC%AD%BF%EF_%C3%BB%B0%E8%C3%B5_1.jpg?type=m500_500
양화한강공원,,37.5383005,126.900071,4,#FF2424,,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_29%2F1441033965613qUI5K_JPEG%2F13416897_0.jpg
안양천,,37.452534,126.8909493,4,#FF2424,,https://lh5.googleusercontent.com/p/AF1QipPbJwHeK2zHqgDADuqE2I1tclVu-DAqzmQjjQAP=w408-h306-k-no
