place,time,요일,value,day
"고속터미널역 8-1번, 8-2번 출구 사이",1,월요일,23,1
"고속터미널역 8-1번, 8-2번 출구 사이",1,화요일,16,2
"고속터미널역 8-1번, 8-2번 출구 사이",1,수요일,23,3
"고속터미널역 8-1번, 8-2번 출구 사이",1,목요일,6,4
"고속터미널역 8-1번, 8-2번 출구 사이",1,금요일,12,5
"고속터미널역 8-1번, 8-2번 출구 사이",1,토요일,37,6
"고속터미널역 8-1번, 8-2번 출구 사이",1,일요일,40,7
"고속터미널역 8-1번, 8-2번 출구 사이",2,월요일,10,1
"고속터미널역 8-1번, 8-2번 출구 사이",2,화요일,12,2
"고속터미널역 8-1번, 8-2번 출구 사이",2,수요일,10,3
"고속터미널역 8-1번, 8-2번 출구 사이",2,목요일,6,4
"고속터미널역 8-1번, 8-2번 출구 사이",2,금요일,8,5
"고속터미널역 8-1번, 8-2번 출구 사이",2,토요일,22,6
"고속터미널역 8-1번, 8-2번 출구 사이",2,일요일,13,7
"고속터미널역 8-1번, 8-2번 출구 사이",3,월요일,5,1
"고속터미널역 8-1번, 8-2번 출구 사이",3,화요일,9,2
"고속터미널역 8-1번, 8-2번 출구 사이",3,수요일,5,3
"고속터미널역 8-1번, 8-2번 출구 사이",3,목요일,2,4
"고속터미널역 8-1번, 8-2번 출구 사이",3,금요일,4,5
"고속터미널역 8-1번, 8-2번 출구 사이",3,토요일,9,6
"고속터미널역 8-1번, 8-2번 출구 사이",3,일요일,11,7
"고속터미널역 8-1번, 8-2번 출구 사이",4,월요일,8,1
"고속터미널역 8-1번, 8-2번 출구 사이",4,화요일,2,2
"고속터미널역 8-1번, 8-2번 출구 사이",4,수요일,4,3
"고속터미널역 8-1번, 8-2번 출구 사이",4,목요일,3,4
"고속터미널역 8-1번, 8-2번 출구 사이",4,금요일,3,5
"고속터미널역 8-1번, 8-2번 출구 사이",4,토요일,8,6
"고속터미널역 8-1번, 8-2번 출구 사이",4,일요일,2,7
"고속터미널역 8-1번, 8-2번 출구 사이",5,월요일,2,1
"고속터미널역 8-1번, 8-2번 출구 사이",5,화요일,4,2
"고속터미널역 8-1번, 8-2번 출구 사이",5,수요일,3,3
"고속터미널역 8-1번, 8-2번 출구 사이",5,목요일,4,4
"고속터미널역 8-1번, 8-2번 출구 사이",5,금요일,3,5
"고속터미널역 8-1번, 8-2번 출구 사이",5,토요일,4,6
"고속터미널역 8-1번, 8-2번 출구 사이",5,일요일,4,7
"고속터미널역 8-1번, 8-2번 출구 사이",6,월요일,13,1
"고속터미널역 8-1번, 8-2번 출구 사이",6,화요일,11,2
"고속터미널역 8-1번, 8-2번 출구 사이",6,수요일,16,3
"고속터미널역 8-1번, 8-2번 출구 사이",6,목요일,11,4
"고속터미널역 8-1번, 8-2번 출구 사이",6,금요일,14,5
"고속터미널역 8-1번, 8-2번 출구 사이",6,토요일,8,6
"고속터미널역 8-1번, 8-2번 출구 사이",6,일요일,7,7
"고속터미널역 8-1번, 8-2번 출구 사이",7,월요일,27,1
"고속터미널역 8-1번, 8-2번 출구 사이",7,화요일,16,2
"고속터미널역 8-1번, 8-2번 출구 사이",7,수요일,24,3
"고속터미널역 8-1번, 8-2번 출구 사이",7,목요일,17,4
"고속터미널역 8-1번, 8-2번 출구 사이",7,금요일,20,5
"고속터미널역 8-1번, 8-2번 출구 사이",7,토요일,12,6
"고속터미널역 8-1번, 8-2번 출구 사이",7,일요일,6,7
"고속터미널역 8-1번, 8-2번 출구 사이",8,월요일,22,1
"고속터미널역 8-1번, 8-2번 출구 사이",8,화요일,19,2
"고속터미널역 8-1번, 8-2번 출구 사이",8,수요일,15,3
"고속터미널역 8-1번, 8-2번 출구 사이",8,목요일,17,4
"고속터미널역 8-1번, 8-2번 출구 사이",8,금요일,20,5
"고속터미널역 8-1번, 8-2번 출구 사이",8,토요일,16,6
"고속터미널역 8-1번, 8-2번 출구 사이",8,일요일,21,7
"고속터미널역 8-1번, 8-2번 출구 사이",9,월요일,20,1
"고속터미널역 8-1번, 8-2번 출구 사이",9,화요일,14,2
"고속터미널역 8-1번, 8-2번 출구 사이",9,수요일,12,3
"고속터미널역 8-1번, 8-2번 출구 사이",9,목요일,20,4
"고속터미널역 8-1번, 8-2번 출구 사이",9,금요일,17,5
"고속터미널역 8-1번, 8-2번 출구 사이",9,토요일,29,6
"고속터미널역 8-1번, 8-2번 출구 사이",9,일요일,21,7
"고속터미널역 8-1번, 8-2번 출구 사이",10,월요일,15,1
"고속터미널역 8-1번, 8-2번 출구 사이",10,화요일,9,2
"고속터미널역 8-1번, 8-2번 출구 사이",10,수요일,11,3
"고속터미널역 8-1번, 8-2번 출구 사이",10,목요일,18,4
"고속터미널역 8-1번, 8-2번 출구 사이",10,금요일,15,5
"고속터미널역 8-1번, 8-2번 출구 사이",10,토요일,27,6
"고속터미널역 8-1번, 8-2번 출구 사이",10,일요일,31,7
"고속터미널역 8-1번, 8-2번 출구 사이",11,월요일,26,1
"고속터미널역 8-1번, 8-2번 출구 사이",11,화요일,20,2
"고속터미널역 8-1번, 8-2번 출구 사이",11,수요일,20,3
"고속터미널역 8-1번, 8-2번 출구 사이",11,목요일,21,4
"고속터미널역 8-1번, 8-2번 출구 사이",11,금요일,23,5
"고속터미널역 8-1번, 8-2번 출구 사이",11,토요일,50,6
"고속터미널역 8-1번, 8-2번 출구 사이",11,일요일,32,7
"고속터미널역 8-1번, 8-2번 출구 사이",12,월요일,24,1
